=============================
Job ID:       599228
Array Task:   12
Node:         evc20
GPU:          0
Start time:   Tue Apr 28 15:19:11 EDT 2026
=============================
Running: PCP HetNet r=1.5 s=3/i=3 --discrete
Using device: cuda
GPU: Tesla V100-PCIE-32GB
Env: PCP | 3S + 3I | world=5.0 | max_steps=80

=== HetNet/MAHAC | r_comm=1.5 (PCP) | device=cuda ===
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6805 reward_min=-1.0721 reward_max=-0.3568
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6805 reward_min=-1.0726 reward_max=-0.3568
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6804 reward_min=-1.0737 reward_max=-0.3564
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7741 reward_min=-1.4371 reward_max=-0.3804
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7100 reward_global_std=0.1602
[HetNet] iter=1/1500 steps=256/384000 | pi_s=0.0031 pi_i=0.0023 v=197.5247 ent_s=1.565 ent_i=1.567 ret=-56.480 ev_s_post=0.003 ev_i_post=0.005 r_s=1.000 r_i=1.000 
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6826 reward_min=-1.0088 reward_max=-0.4115
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6826 reward_min=-1.0092 reward_max=-0.4111
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6828 reward_min=-1.0098 reward_max=-0.4114
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8086 reward_min=-1.4449 reward_max=-0.3982
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7289 reward_global_std=0.1705
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6687 reward_min=-0.9973 reward_max=-0.3909
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6687 reward_min=-0.9975 reward_max=-0.3911
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6687 reward_min=-0.9981 reward_max=-0.3912
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.8094 reward_min=-1.3969 reward_max=-0.4148
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7224 reward_global_std=0.1602
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6882 reward_min=-1.0248 reward_max=-0.4451
