iter,global_step,episode_return,mean_step_reward,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,lr,seed
0,3200,-608.536828994751,-6.085368232727051,32,-0.0032708593753625337,0.5367680013179779,2.196181058883667,0.24315132945775986,0.05415250994265079,0.05415250994265079,0.2150697000324726,0.0011183919305040463,0.0006770833395421505,-0.20704376697540283,1.0,0.0007,1
1,6400,-571.1362018585205,-5.711362128257751,64,-0.0017952460983650554,0.47386349439620973,2.1895335912704468,0.21324116438627244,0.04364982061088085,0.04364982061088085,0.365307043492794,0.0011228341343671048,0.0007708333549089729,0.2919198274612427,1.0,0.0007,1
2,9600,-540.4868459701538,-5.404868373870849,96,-0.0020610708025049717,0.43656776547431947,2.1781720876693726,0.19444109350442887,0.04340227171778679,0.04340227171778679,0.3558472454547882,0.0015670411747129545,0.002968750102445483,0.2729705572128296,1.0,0.0007,1
3,12800,-564.7609057426453,-5.647609243392944,128,-0.002039667118437194,0.38474501967430114,2.1630645751953126,0.16870219856500626,0.05005732029676437,0.05005732029676437,0.31434520334005356,0.0015954331771361025,0.004062499932479114,0.1636531949043274,1.0,0.0007,1
4,16000,-485.68123722076416,-4.856812472343445,160,-0.0017046250680966325,0.28230680376291273,2.149769425392151,0.11795108541846275,0.03949578478932381,0.03949578478932381,0.34984391182661057,0.0018933750001459315,0.009125000028871,0.4884934425354004,1.0,0.0007,1
5,19200,-508.34191942214966,-5.083418970108032,192,-0.0018792934165489327,0.24030088782310485,2.149823260307312,0.09677291736006736,0.04013662412762642,0.04013662412762642,0.2844377547502518,0.001066494154111659,0.00301041662460193,0.31975412368774414,1.0,0.0007,1
6,22400,-531.8835859298706,-5.318835821151733,224,-0.0017044303916431858,0.2958476573228836,2.1446325063705443,0.12477307468652725,0.04320518709719181,0.04320518709719181,0.32285759747028353,0.0014823724297465348,0.0014895833563059568,0.2785252332687378,1.0,0.0007,1
7,25600,-507.6329412460327,-5.076329460144043,256,-0.0017246577607390456,0.2278105393052101,2.1327900171279905,0.09085271209478378,0.04622808955609799,0.04622808955609799,0.2649534188210964,0.0010832218402364708,0.0010624999704305083,0.0436711311340332,1.0,0.0007,1
8,28800,-486.6174507141113,-4.866174750328064,288,-0.001754278731260761,0.15944330990314484,2.1433150291442873,0.05653422549366951,0.0418462447822094,0.0418462447822094,0.21010243222117425,0.0017575645513724948,0.01101041678339243,0.1769903302192688,1.0,0.0007,1
9,32000,-517.2355356216431,-5.172355365753174,320,-0.0018332026713372862,0.14201639965176582,2.1489503622055053,0.047685492783784866,0.038523788750171664,0.038523788750171664,0.227761310338974,0.0016937196127409346,0.0034999999450519683,0.4025980830192566,1.0,0.0007,1
10,35200,-482.88505601882935,-4.828850445747375,352,-0.0013915394716459417,0.10676191672682762,2.151267147064209,0.030476747639477254,0.037855150923132894,0.037855150923132894,0.1689880073070526,0.0010294973108110608,0.0021770832798210906,0.2109432816505432,1.0,0.0007,1
