[setup] Required Python imports are available.
[setup] Required Python imports are available.
=== qmix_pcp_full task 34/70: attention seed4 (git 5e3950a) ===
Run dir: runs/qmix_pcp_full_20260627_165504/attention/seed4  Start: Sat Jun 27 17:04:17 EDT 2026
Sat Jun 27 17:04:17 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.105.08             Driver Version: 580.105.08     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           Off |   00000000:D8:00.0 Off |                    0 |
| N/A   35C    P0             39W /  250W |       0MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
[env] kind=pcp name=pcp n_agents=5 obs_dim=5 action_dim=5 state_dim=13 num_envs=32
[train] QMIX start: total_iters=62500 B=32 device=cuda:0 seed=4 warmup=5000 batch=256 target_update(updates)=200 render=off
step=   20000 ep_ret=-85.511 eval_ret=-135.591 pursuer_target_distance=6.296 capture=0.000 cap=0.000 td_loss=1.0706 q_tot=+9.451 tgt=+9.426 gnorm=84.65 w_min=2.05e-08 eps=0.621 buf=20000 upd=469 seed=4
step=   40000 ep_ret=-80.359 eval_ret=-137.815 pursuer_target_distance=6.831 capture=0.001 cap=0.005 td_loss=0.1233 q_tot=+9.816 tgt=+9.808 gnorm=31.01 w_min=7.45e-09 eps=0.241 buf=40000 upd=1094 seed=4
step=   60000 ep_ret=-94.485 eval_ret=-88.541 pursuer_target_distance=7.015 capture=0.001 cap=0.005 td_loss=0.2218 q_tot=+8.762 tgt=+8.753 gnorm=41.82 w_min=0.00e+00 eps=0.050 buf=60000 upd=1719 seed=4
step=   80000 ep_ret=-86.404 eval_ret=-131.207 pursuer_target_distance=6.484 capture=0.002 cap=0.004 td_loss=0.2658 q_tot=+6.773 tgt=+6.770 gnorm=47.10 w_min=2.61e-08 eps=0.050 buf=80000 upd=2344 seed=4
step=  100000 ep_ret=-64.306 eval_ret=-116.296 pursuer_target_distance=5.985 capture=0.001 cap=0.005 td_loss=0.2867 q_tot=+4.432 tgt=+4.428 gnorm=47.78 w_min=1.72e-08 eps=0.050 buf=100000 upd=2969 seed=4
step=  120000 ep_ret=-63.307 eval_ret=-109.323 pursuer_target_distance=6.035 capture=0.000 cap=0.000 td_loss=0.3461 q_tot=+2.487 tgt=+2.483 gnorm=53.20 w_min=1.49e-08 eps=0.050 buf=100000 upd=3594 seed=4
step=  140000 ep_ret=-77.851 eval_ret=-49.210 pursuer_target_distance=5.486 capture=0.000 cap=0.010 td_loss=0.3400 q_tot=+0.838 tgt=+0.833 gnorm=52.66 w_min=1.86e-09 eps=0.050 buf=100000 upd=4219 seed=4
step=  160000 ep_ret=-59.747 eval_ret=-80.023 pursuer_target_distance=4.866 capture=0.002 cap=0.013 td_loss=0.3483 q_tot=-0.705 tgt=-0.708 gnorm=52.17 w_min=0.00e+00 eps=0.050 buf=100000 upd=4844 seed=4
step=  180000 ep_ret=-35.044 eval_ret=-64.228 pursuer_target_distance=4.410 capture=0.002 cap=0.021 td_loss=0.3456 q_tot=-1.774 tgt=-1.778 gnorm=51.20 w_min=1.12e-08 eps=0.050 buf=100000 upd=5469 seed=4
step=  200000 ep_ret=-38.602 eval_ret=-58.446 pursuer_target_distance=3.990 capture=0.004 cap=0.052 td_loss=0.3624 q_tot=-2.608 tgt=-2.611 gnorm=49.20 w_min=1.12e-07 eps=0.050 buf=100000 upd=6094 seed=4
step=  220000 ep_ret=-42.737 eval_ret=-54.709 pursuer_target_distance=3.875 capture=0.002 cap=0.016 td_loss=0.4478 q_tot=-2.504 tgt=-2.504 gnorm=53.36 w_min=3.73e-09 eps=0.050 buf=100000 upd=6719 seed=4
step=  240000 ep_ret=-46.571 eval_ret=-50.461 pursuer_target_distance=3.405 capture=0.003 cap=0.031 td_loss=0.4992 q_tot=-2.332 tgt=-2.330 gnorm=57.38 w_min=4.28e-08 eps=0.050 buf=100000 upd=7344 seed=4
step=  260000 ep_ret=-43.696 eval_ret=-53.841 pursuer_target_distance=3.830 capture=0.002 cap=0.026 td_loss=0.5849 q_tot=-2.392 tgt=-2.391 gnorm=61.04 w_min=3.42e-08 eps=0.050 buf=100000 upd=7969 seed=4
step=  280000 ep_ret=-31.265 eval_ret=-42.554 pursuer_target_distance=3.642 capture=0.004 cap=0.026 td_loss=0.6139 q_tot=-2.137 tgt=-2.137 gnorm=65.41 w_min=7.45e-09 eps=0.050 buf=100000 upd=8594 seed=4
step=  300000 ep_ret=-25.006 eval_ret=-48.698 pursuer_target_distance=3.162 capture=0.005 cap=0.042 td_loss=0.6499 q_tot=-2.312 tgt=-2.310 gnorm=66.95 w_min=3.26e-08 eps=0.050 buf=100000 upd=9219 seed=4
step=  320000 ep_ret=-14.611 eval_ret=-73.644 pursuer_target_distance=3.155 capture=0.008 cap=0.031 td_loss=0.6629 q_tot=-1.711 tgt=-1.708 gnorm=65.56 w_min=1.67e-07 eps=0.050 buf=100000 upd=9844 seed=4
step=  340000 ep_ret=-42.506 eval_ret=-51.958 pursuer_target_distance=3.120 capture=0.004 cap=0.031 td_loss=0.7230 q_tot=-1.467 tgt=-1.468 gnorm=72.05 w_min=5.96e-08 eps=0.050 buf=100000 upd=10469 seed=4
step=  360000 ep_ret=-33.702 eval_ret=-43.220 pursuer_target_distance=2.899 capture=0.002 cap=0.026 td_loss=0.8195 q_tot=-1.346 tgt=-1.346 gnorm=84.80 w_min=1.30e-08 eps=0.050 buf=100000 upd=11094 seed=4
step=  380000 ep_ret=-32.735 eval_ret=-54.538 pursuer_target_distance=3.220 capture=0.004 cap=0.026 td_loss=0.8909 q_tot=-1.525 tgt=-1.522 gnorm=95.87 w_min=1.90e-07 eps=0.050 buf=100000 upd=11719 seed=4
step=  400000 ep_ret=-40.444 eval_ret=-59.287 pursuer_target_distance=3.520 capture=0.003 cap=0.031 td_loss=1.0457 q_tot=-1.901 tgt=-1.902 gnorm=115.21 w_min=2.98e-08 eps=0.050 buf=100000 upd=12344 seed=4
step=  420000 ep_ret=-32.736 eval_ret=-45.614 pursuer_target_distance=3.197 capture=0.003 cap=0.031 td_loss=0.8147 q_tot=-2.214 tgt=-2.212 gnorm=87.28 w_min=1.49e-08 eps=0.050 buf=100000 upd=12969 seed=4
step=  440000 ep_ret=-27.562 eval_ret=-44.858 pursuer_target_distance=3.171 capture=0.004 cap=0.036 td_loss=0.8218 q_tot=-2.512 tgt=-2.512 gnorm=85.59 w_min=0.00e+00 eps=0.050 buf=100000 upd=13594 seed=4
step=  460000 ep_ret=-29.377 eval_ret=-44.998 pursuer_target_distance=2.721 capture=0.006 cap=0.057 td_loss=0.8415 q_tot=-2.648 tgt=-2.647 gnorm=83.95 w_min=4.47e-08 eps=0.050 buf=100000 upd=14219 seed=4
step=  480000 ep_ret=-37.540 eval_ret=-48.817 pursuer_target_distance=3.075 capture=0.002 cap=0.018 td_loss=0.8239 q_tot=-2.470 tgt=-2.468 gnorm=83.11 w_min=3.73e-09 eps=0.050 buf=100000 upd=14844 seed=4
