iter,global_step,episode_return,mean_step_reward,episodes_completed,policy_loss,value_loss,entropy,total_loss,grad_norm,actor_grad_norm,critic_grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,lr,seed
0,3200,-597.770637512207,-5.977706270217896,32,-0.002545542454734573,0.5804277956485748,2.1963917016983032,0.2657044380903244,0.04114062450826168,0.04114062450826168,0.21410622000694274,0.0007728060489171617,0.0006666666478849948,-0.2980644702911377,1.0,0.0007,2
1,6400,-607.709792137146,-6.077097902297973,64,-0.001823817766019431,0.5348846137523651,2.1912328481674193,0.24370616525411606,0.039591703563928604,0.039591703563928604,0.3537041947245598,0.0010303131071853929,6.249999860301614e-05,0.07298380136489868,1.0,0.0007,2
2,9600,-520.4528360366821,-5.204528460502624,96,-0.0016582240959784223,0.43012880682945254,2.1820657730102537,0.19158552289009095,0.038976050540804864,0.038976050540804864,0.36783057600259783,0.0012463918777944924,0.001489583309739828,0.11126244068145752,1.0,0.0007,2
3,12800,-493.2794189453125,-4.932794165611267,128,-0.0015647571622778855,0.3694875627756119,2.173074793815613,0.16144827753305435,0.036281191185116766,0.036281191185116766,0.3113834798336029,0.0010457346877962644,0.00010416667209938169,0.07065176963806152,1.0,0.0007,2
4,16000,-487.6732988357544,-4.876732959747314,160,-0.001319688833619459,0.29750691950321195,2.1679497957229614,0.12575427442789078,0.034733759611845015,0.034733759611845015,0.2984577104449272,0.0009462315061689576,0.0031875000335276128,0.2338341474533081,1.0,0.0007,2
5,19200,-536.4498562812805,-5.364498348236084,192,-0.0030102179683356932,0.4034103274345398,2.159884977340698,0.17709609866142273,0.056821460276842116,0.056821460276842116,0.33303446173667905,0.002023885070594448,0.016145833727205173,0.02967458963394165,1.0,0.0007,2
6,22400,-552.0680327415466,-5.5206806230545045,224,-0.0016910724604194626,0.3307342916727066,2.151567482948303,0.14216039702296257,0.04236556105315685,0.04236556105315685,0.30097352862358095,0.0013124491768402244,0.00830208333209157,0.025344789028167725,1.0,0.0007,2
7,25600,-508.53822660446167,-5.0853823375701905,256,-0.0018835546977740592,0.1781543269753456,2.152836871147156,0.06566524021327495,0.046725375577807426,0.046725375577807426,0.22947785407304763,0.0010118574875385825,0.001468749983177986,0.10936135053634644,1.0,0.0007,2
8,28800,-465.3054213523865,-4.653054542541504,288,-0.001795264957812215,0.1533816784620285,2.146873617172241,0.0534268394112587,0.04630562104284763,0.04630562104284763,0.22885586693882942,0.001299310348259417,0.003041666746139526,0.36295968294143677,1.0,0.0007,2
9,32000,-473.455379486084,-4.734553837776184,320,-0.0019195909563379133,0.13866354897618294,2.1351158618927,0.04606102593243122,0.045582874491810796,0.045582874491810796,0.22585525810718537,0.0020912473726647997,0.015020833536982536,0.2065240740776062,1.0,0.0007,2
10,35200,-525.0199766159058,-5.250199565887451,352,-0.0025687381426884315,0.15562939047813415,2.1247540712356567,0.053998415172100064,0.053395093977451326,0.053395093977451326,0.21349100768566132,0.0017371212485168114,0.008333333232440055,-0.8391135931015015,1.0,0.0007,2
11,38400,-478.9615173339844,-4.789615120887756,384,-0.0018207674724592948,0.07006937377154827,2.130020785331726,0.011913712322711944,0.04175170622766018,0.04175170622766018,0.14351692274212838,0.0017325254440957044,0.008947916515171527,0.1367681622505188,1.0,0.0007,2
12,41600,-492.2035665512085,-4.9220356750488286,416,-0.0025968835183885373,0.06351490765810013,2.1368096828460694,0.007792474329471588,0.051263051480054854,0.051263051480054854,0.14691694006323813,0.0018186840403368542,0.010739583114627749,0.3605438470840454,1.0,0.0007,2
13,44800,-495.60405254364014,-4.956040697097778,448,-0.002517342333293726,0.061796292662620544,2.116400384902954,0.00721680074930191,0.048211199790239335,0.048211199790239335,0.1452031895518303,0.002406182372943498,0.020906250012922102,0.3997422456741333,1.0,0.0007,2
14,48000,-516.2818155288696,-5.162818017005921,480,-0.0018356343274160026,0.06666945666074753,2.107207012176514,0.010427023842930793,0.05323449969291687,0.05323449969291687,0.14364045187830926,0.0014472141483575693,0.0027083332766778766,-0.19324851036071777,1.0,0.0007,2
15,51200,-511.63580894470215,-5.116358289718628,512,-0.00251431822058894,0.0373003713786602,2.1009660005569457,-0.00487379189580679,0.04928656332194805,0.04928656332194805,0.12334428057074547,0.0021135571267232823,0.012239583424525335,0.4364128112792969,1.0,0.0007,2
16,54400,-499.90268754959106,-4.99902684211731,544,-0.002332471185383156,0.04368023760616779,2.099484944343567,-0.0014872010797262192,0.05573873221874237,0.05573873221874237,0.12476822957396508,0.003097249777421094,0.03349999982165173,0.344452440738678,1.0,0.0007,2
