module,alpha,alpha_label,seed,episode_return,mean_step_reward,pursuer_target_distance,capture,capture_rate,policy_loss,value_loss,entropy,total_loss,grad_norm,approx_kl,clipfrac,explained_variance,mean_ratio_epoch0,capture_c1_participation,dist_sensor_limited,marginal_c1_rate,knn_c1_sighted_frac,eval_mean_return,eval_mean_episode_length,eval_pursuer_target_distance,eval_capture,ratio_min,ratio_max,nan_core_rows,num_iters
identity,0.25,alpha0p25,0,6.814031502557179,0.06814032006240081,1.1877571883762166,0.06294146825396825,0.2822420634920635,-0.00012867361536657407,0.027184167554572463,1.103195803884476,0.011858361925456732,0.07317946077812286,0.00020137411610842513,0.00015823412417491437,0.9756731230115133,1.0,0.06294146825396825,1.1877571883762166,0.06294146825396825,nan,189.10276251891628,100.0,0.9386759142030496,0.24875,1.0,1.0,0.0,625.0
identity,0.25,alpha0p25,1,-10.9238169130884,-0.10923817146392095,1.27492576652103,0.04729166666666667,0.24206349206349206,-0.00015359098577243677,0.021774539760949594,1.1555228573935372,0.0090487573103654,0.07000976054086572,0.0002844308689216877,0.0008601190508107676,0.9797122989382062,1.0,0.04729166666666667,1.27492576652103,0.04729166666666667,nan,197.79973939666525,100.0,0.5127773974137381,0.22375,1.0,1.0,0.0,625.0
identity,0.25,alpha0p25,2,-32.97249704646316,-0.3297249727317738,1.4567377540894917,0.02820436507936508,0.17509920634920634,-0.00013464653203793363,0.1054152937044227,1.2846219303115967,0.05071311277736511,0.05727570811434397,0.00022097866051740982,0.00022108135008094243,0.9318853455876547,1.0,0.02820436507936508,1.4567377540894917,0.02820436507936508,nan,447.7731120462995,100.0,0.577518452447257,0.46375,1.0,1.0,0.0,625.0
identity,0.25,alpha0p25,3,4.5640386205817025,0.0456403815734481,1.2157777690225178,0.06373015873015872,0.2425595238095238,-0.00017037417032739075,0.01238706304233462,1.1332188782237826,0.004373707807445455,0.11600227493142325,0.00034396598464821464,0.0006594246073897618,0.9736803429467338,1.0,0.06373015873015872,1.2157777690225178,0.06373015873015872,nan,52.17528966860846,100.0,1.4745495516387745,0.09375,1.0,1.0,0.0,625.0
identity,0.25,alpha0p25,4,2.4977435534524304,0.024977427231413978,1.2491429752773708,0.061547619047619045,0.25049603174603174,-0.00014684632188648154,0.0335943624909435,1.195137975897108,0.014921181518141003,0.0803123442190034,0.00027948560176265,0.000154365079455717,0.9780507674292912,1.0,0.061547619047619045,1.2491429752773708,0.061547619047619045,nan,51.20593942468986,100.0,0.7210470003052615,0.11,1.0,1.0,0.0,625.0
identity,0.5,alpha0p5,0,113.40182790161657,1.1340182794157474,0.9148274867792451,0.14979166666666668,0.6790674603174603,-0.00014789158337885186,0.011247402696411998,0.9007856801388755,0.004170248721955374,0.08690975741261528,0.00017661069963727645,0.0003110119058484478,0.9675854520192222,1.0,0.14979166666666668,0.9148274867792451,0.14979166666666668,nan,225.68923321040347,100.0,0.9440840598661453,0.265,1.0,1.0,0.0,625.0
identity,0.5,alpha0p5,1,138.31106132189078,1.3831106054463558,0.8664410561524213,0.1735267857142857,0.71875,-0.00017080376965479172,0.006629668796316735,0.8026599074166918,0.0019840143521183302,0.11321251749519318,0.0002278710099129588,0.0005882936481135577,0.9641436064054095,1.0,0.1735267857142857,0.8664410561524213,0.1735267857142857,nan,356.0797883043997,100.0,0.44125809270422905,0.375,1.0,1.0,0.0,625.0
identity,0.5,alpha0p5,2,71.18923605615939,0.7118923569565254,0.9784354312469562,0.10901785714285714,0.5768849206349206,-0.00016713695604628952,0.054960652754183804,1.0440373521948618,0.025795585103332994,0.06094411168957041,0.00019179250738725093,0.00030262896783940036,0.965670385057964,1.0,0.10901785714285714,0.9784354312469562,0.10901785714285714,nan,476.71383898169734,100.0,0.5914690782577964,0.4925,1.0,1.0,0.0,625.0
identity,0.5,alpha0p5,3,113.04109760249655,1.1304109772992512,0.9234597619812166,0.15148313492063492,0.6785714285714286,-0.00015347544880443738,0.010352018444488445,0.8841176817341456,0.003743161906724766,0.09848449137357491,0.00022242765595463455,0.0006231150833570162,0.9693915635820419,1.0,0.15148313492063492,0.9234597619812166,0.15148313492063492,nan,255.57397787761874,100.0,1.471755674969172,0.285,1.0,1.0,0.0,625.0
identity,0.5,alpha0p5,4,142.93601952082227,1.4293601843028787,0.8703500280316386,0.17823412698412697,0.7361111111111112,-0.00017132490498311833,0.008848342273591294,0.8561351770446414,0.00301129848581724,0.1096879734347264,0.00025489595994160195,0.0008874503914754198,0.9674051063401359,1.0,0.17823412698412697,0.8703500280316386,0.17823412698412697,nan,98.44732425757684,100.0,0.6985775199299679,0.14125000000000001,1.0,1.0,0.0,625.0
attention,0.25,alpha0p25,0,18.766589691714636,0.18766589351116664,1.3103603809173145,0.07109623015873015,0.3665674603174603,-0.0003949826629273849,0.021855568857715717,0.9266356346153077,0.009191933685972814,0.17693942733227258,0.0005791039465933862,0.0038286210148870607,0.9724708057585216,1.0,0.07109623015873015,1.3103603809173145,0.07109623015873015,nan,214.54033254506066,100.0,1.0482636235398242,0.265,1.0,1.0,0.0,625.0
attention,0.25,alpha0p25,1,-53.13796305644607,-0.5313796293167841,1.8252196749240632,0.00222718253968254,0.022817460317460316,-0.0004077644031123863,0.0313099798169874,1.0099365960037896,0.013778223669052951,0.12280862518246212,0.00048449478360355593,0.0024197420716287553,0.921439200166672,1.0,0.00222718253968254,1.8252196749240632,0.00222718253968254,nan,-29.572926786728203,100.0,0.9773128076642752,0.0,1.0,1.0,0.0,625.0
attention,0.25,alpha0p25,2,15.954399252679968,0.15954399139162093,1.4560816864172619,0.07108134920634922,0.34970238095238093,-0.0004264425196385616,0.054968199394051995,1.0234026997808428,0.02557681483763551,0.1466369771117729,0.0005751209938939526,0.0034306051680369634,0.9638673473918249,1.0,0.07108134920634922,1.4560816864172619,0.07108134920634922,nan,310.4740268262103,100.0,0.7564872728567571,0.3275,1.0,1.0,0.0,625.0
